Name,Canonical_Smiles,SMARTS
{HEXAFLUOROPROPENE OXIDE},FC(F)(F)C1(F)OC1(F)F,[#6]1(-[#9])(-[#6](-[#9])(-[#9])-[#9])-[#8]-[#6]1(-[#9])-[#9]
{GLYCIDYL ACRYLATE},C=CC(=O)OCC1CO1,[#6]1(-[#6]-[#8]-[#6](=[#8])-[#6]=[#6])-[#8]-[#6]1
{ETHYLENE OXIDE},C1CO1,[#6]1-[#8]-[#6]1
"{2-(3,4-EPOXYCYCLOHEXYL)ETHYLTRIMETHOXYSILANE}",CO[Si](CCC1CCC2OC2C1)(OC)OC,[#14](-[#8]-[#6])(-[#8]-[#6])(-[#8]-[#6])-[#6]-[#6]-[#6]1-[#6]-[#6]-[#6](-[#8]2)-[#6]2-[#6]1
"{6ALPHA,7ALPHA-EPOXY-2-OXABICYCLO[3.3.0]OCTAN-3-ONE}",O=C1CC2C[C@@H]3O[C@@H]3C2C1,[#6@@]12-[#6@@](-[#8]1)-[#6]-[#6](-[#6]-[#6](=[#8])-[#6]3)-[#6]23
{SCOPOLAMINE N-OXIDE HYDROBROMIDE},Br.C[N+]1([O-])[C@@H]2C[C@H](C[C@H]1[C@@H]3O[C@H]23)OC(=O)[C@H](CO)c4ccccc4,[#6@@]12(-[#1])-[#6@@](-[#1])(-[#8]1)-[#6@@](-[#1])(-[#7+](-[#8-])(-[#6])-[#6@@]23-[#1])-[#6]-[#6@](-[#8]-[#6](=[#8])-[#6@](-[#6]-[#8])-[c]4:[c]:[c]:[c]:[c]:[c]4)-[#6]3
"{4-CHLOROMETHYL-3,4-EPOXYPENTAN-2-ONE}",CC(=O)C1OC1(C)CCl,[#6]1(-[#6])(-[#6]-[#17])-[#8]-[#6]1-[#6](=[#8])-[#6]
"{3,4-EPOXY-6-METHYLCYCLOHEXYLMETHYL-3,4-EPOXY-6-METHYLCYCLOHEXANECARBOXYLATE}",CC1CC2OC2CC1COC(=O)C3CC4OC4CC3C,[#6]12-[#6](-[#8]1)-[#6]-[#6](-[#6](-[#6](=[#8])-[#8]-[#6]-[#6]3-[#6](-[#6])-[#6]-[#6](-[#8]4)-[#6]4-[#6]3)-[#6]2)-[#6]
{(3-GLYCIDOXYPROPYL)BIS(TRIMETHYLSILOXY)METHYLSILANE},C[SiH](CCCOCC1(CO1)O[Si](C)(C)C)O[Si](C)(C)C,[#6]1(-[#6]-[#8]-[#6]-[#6]-[#6]-[#14](-[#6])-[#8]-[#14](-[#6])(-[#6])-[#6])(-[#8]-[#14](-[#6])(-[#6])-[#6])-[#8]-[#6]1
"{3-(1H,1H,5H-OCTAFLUOROPENTYLOXY)-1,2-EPOXYPROPANE}",FC(F)C(F)(F)C(F)(F)C(F)(F)COCC1CO1,[#6](-[#9])(-[#9])(-[#6](-[#9])(-[#9])-[#6]-[#8]-[#6]-[#6]1-[#8]-[#6]1)-[#6](-[#9])(-[#9])-[#6](-[#9])-[#9]
{SCOPINE HYDROCHLORIDE},Cl.CN1[C@@H]2C[C@@H](O)C[C@H]1[C@@H]3O[C@H]23,[#6@@]12(-[#1])-[#6@@](-[#1])(-[#8]1)-[#6@@](-[#1])(-[#7](-[#6])-[#6@@]23-[#1])-[#6]-[#6@](-[#8])-[#6]3
{TRIDIPHANE},Clc1cc(Cl)cc(c1)C2(CC(Cl)(Cl)Cl)CO2,[#6]1(-[#6]-[#6](-[#17])(-[#17])-[#17])(-[#8]-[#6]1)-[c]2:[c]:[c](:[c]:[c](-[#17]):[c]2)-[#17]
{(+)-LIMONENE OXIDE},CC(=C)[C@@H]1CCC2(C)OC2C1,[#6]12(-[#6])-[#6](-[#8]1)-[#6]-[#6@@](-[#6]-[#6]2)-[#6](=[#6])-[#6]
