Name,Canonical_Smiles,SMARTS,,,,,,,,,,
"{Cinnamyl alcohol, 98 %}",OC\C=C\c1ccccc1,[#6](/-[c]1:[c]:[c]:[c]:[c]:[c]1)=[#6]\-[#6]-[#8],,,,,,,,,,
"{1,5-Dihydroxy-1,2,3,4-tetrahydronaphthalene, gradetech.}",OC1CCCc2c(O)cccc12,[#8]-[#6]1-[#6]-[#6]-[#6]-[c](:[c](:[c]:[c]:[c]2)-[#8]):[c]12,,,,,,,,,,
"{3-Methyl-5-hexen-3-ol, 98 %}",CCC(C)(O)CC=C,[#6]-[#6]-[#6](-[#6])(-[#8])-[#6]-[#6]=[#6],,,,,,,,,,
"{3-Methyl-1-pentanol, 99 %}",CCC(C)CCO,[#6](-[#6])(-[#6]-[#6])-[#6]-[#6]-[#8],,,,,,,,,,
"{3-Methyl-2-pentanol, 99 %}",CCC(C)C(C)O,[#6](-[#6])(-[#6]-[#6])-[#6](-[#8])-[#6],,,,,,,,,,
"{4-Penten-1-ol, 99 %}",OCCCC=C,[#6](-[#6]=[#6])-[#6]-[#6]-[#8],,,,,,,,,,
"{3-Penten-2-ol,predominantly trans, 96 %}",C\C=C\C(C)O,[#6](=[#6]\-[#6])/-[#6](-[#8])-[#6],,,,,,,,,,
"{2,5-Di-tert-butylhydroquinone, 99 %}",CC(C)(C)c1cc(O)c(cc1O)C(C)(C)C,[#6](-[c]1:[c]:[c](-[#8]):[c](-[#6](-[#6])(-[#6])-[#6]):[c]:[c]1-[#8])(-[#6])(-[#6])-[#6],,,,,,,,,,
"{1,5-Hexadien-3-ol, 95 %}",OC(CC=C)C=C,[#6](-[#8])(-[#6]=[#6])-[#6]-[#6]=[#6],,,,,,,,,,
"{2-Deoxy-D-ribose, 97 %}",OCC(O)C(O)CC=O,[#6](-[#8])(-[#6]-[#6]=[#8])-[#6](-[#8])-[#6]-[#8],,,,,,,,,,
"{2-Chloro-4,6-dinitrophenol}",Oc1c(Cl)cc(cc1[N+](=O)[O-])[N+](=O)[O-],[c]1(-[#7+](=[#8])-[#8-]):[c](-[#8]):[c](-[#17]):[c]:[c](-[#7+](-[#8-])=[#8]):[c]1,,,,,,,,,,
{beta-Chloralose},OCC(O)[C@H]1O[C@H]2O[C@H](O[C@H]2[C@H]1O)C(Cl)(Cl)Cl,[#8]-[#6@]1-[#6@](-[#8]-[#6@@](-[#8]-[#6@@](-[#1])(-[#6@@](-[#17])(-[#17])-[#17])-[#8]2)-[#6@]12)-[#6](-[#8])-[#6]-[#8],,,,,,,,,,
"{2,3-Dimethyl-2-butanol, 99+ %}",CC(C)C(C)(C)O,[#6](-[#8])(-[#6])(-[#6])-[#6](-[#6])-[#6],,,,,,,,,,
"{3-Methyl-3-buten-1-ol, 97 %}",CC(=C)CCO,[#6](-[#6]-[#8])-[#6](=[#6])-[#6],,,,,,,,,,
"{2-Methyl-3-pentanol, 99+ %}",CCC(O)C(C)C,[#6](-[#8])(-[#6]-[#6])-[#6](-[#6])-[#6],,,,,,,,,,
"{1-Adamantanol, 99 %}",OC12CC3CC(CC(C3)C1)C2,[#8]-[#6]12-[#6]-[#6](-[#6]-[#6](-[#6]-[#6]3-[#6]1)-[#6]2)-[#6]3,,,,,,,,,,
"{2,2,4,4-Tetramethyl-1,3-cyclobutanediol,mixture of isomers, 99 %}",CC1(C)C(O)C(C)(C)C1O,[#8]-[#6]1-[#6](-[#6])(-[#6])-[#6](-[#8])-[#6]1(-[#6])-[#6],,,,,,,,,,
