Name,Canonical_Smiles,SMARTS
"{4-Amino-2,3,5,6-tetrafluorobenzamide, 97 %}",NC(=O)c1c(F)c(F)c(N)c(F)c1F,[#6](-[c]1:[c](:[c](-[#9]):[c](-[#7]):[c](-[#9]):[c]1-[#9])-[#9])(=[#8])-[#7]
"{4-Hydroxyantipyrine, 99 %}",CN1N(C(=O)C(=C1C)O)c2ccccc2,[#8]=[#6]1-[#6](=[#6](-[#6])-[#7](-[#6])-[#7]1-[c]2:[c]:[c]:[c]:[c]:[c]2)-[#8]
"{N-Ethyl-o-crotonotoluidide,predominantly trans, 97 %}",CCN(C(=O)\C=C\C)c1ccccc1C,[#7](-[c]1:[c]:[c]:[c]:[c]:[c]1-[#6])(-[#6]-[#6])-[#6](=[#8])\-[#6]=[#6]\-[#6]
"{4-(2-Keto-1-benzimidazolinyl)piperidine, 98 %}",O=C1Nc2ccccc2N1C3CCNCC3,[#8]=[#6]1-[#7]-[c](:[c]:[c]:[c]:[c]2):[c]2-[#7]1-[#6]3-[#6]-[#6]-[#7]-[#6]-[#6]3
"{5-Chloromethyl-2-oxazolidinone, 99 %}",ClCC1CNC(=O)O1,[#6](-[#6]1-[#6]-[#7]-[#6](=[#8])-[#8]1)-[#17]
"{N-(1-Adamantyl)urea, 98 %}",NC(=O)NC12CC3CC(CC(C3)C1)C2,[#7](-[#6]12-[#6]-[#6](-[#6]-[#6](-[#6]-[#6]3-[#6]1)-[#6]2)-[#6]3)-[#6](=[#8])-[#7]
"{N,N-Dichlorourethane, 90 % gradetech.}",CCOC(=O)N(Cl)Cl,[#6](=[#8])(-[#7](-[#17])-[#17])-[#8]-[#6]-[#6]
"{10,11-Dihydrodibenz[b,f][1,4]oxazepin-11-one, 97 %}",O=C1Nc2ccccc2Oc3ccccc13,[#8]=[#6]1-[#7]-[c]2:[c](:[c]:[c]:[c]:[c]2)-[#8]-[c](:[c]:[c]:[c]:[c]3):[c]13
"{N,N',N''-Methylidynetrisformamide, 97 %}",O=CNC(NC=O)NC=O,[#6](-[#7]-[#6]=[#8])(-[#7]-[#6]=[#8])-[#7]-[#6]=[#8]
"{5-(p-Methylphenyl)-5-phenylhydantoin, 99+ %}",Cc1ccc(cc1)C2(NC(=O)NC2=O)c3ccccc3,[#8]=[#6]1-[#7]-[#6](=[#8])-[#7]-[#6]1(-[c]2:[c]:[c]:[c]:[c]:[c]2)-[c]3:[c]:[c]:[c](-[#6]):[c]:[c]3
"{1,3-Diethyl-2-thiobarbituric acid, 99 %}",CCN1C(=O)CC(=O)N(CC)C1=S,[#6](-[#7]1-[#6](-[#6]-[#6](=[#8])-[#7](-[#6]-[#6])-[#6]1=[#16])=[#8])-[#6]
"{3-Carbamoyl-PROXYL, 97 %}",CC1(C)CC(C(=O)N)C(C)(C)N1O,[#8]-[#7]1-[#6](-[#6]-[#6](-[#6](=[#8])-[#7])-[#6]1(-[#6])-[#6])(-[#6])-[#6]
"{Dibenzyl azodicarboxylate, gradetech. 90 %}",O=C(OCc1ccccc1)N=NC(=O)OCc2ccccc2,[#6](-[c]1:[c]:[c]:[c]:[c]:[c]1)-[#8]-[#6](=[#8])-[#7]=[#7]-[#6](=[#8])-[#8]-[#6]-[c]2:[c]:[c]:[c]:[c]:[c]2
"{Ethyl oxanilate, 98 %}",CCOC(=O)C(=O)Nc1ccccc1,[#7](-[c]1:[c]:[c]:[c]:[c]:[c]1)-[#6](=[#8])-[#6](=[#8])-[#8]-[#6]-[#6]
"{4-Phenylurazole, 98 %}",O=C1NNC(=O)N1c2ccccc2,[#8]=[#6]1-[#7]-[#7]-[#6](=[#8])-[#7]1-[c]2:[c]:[c]:[c]:[c]:[c]2
"{7-Aminocephalosporanic acid, 98 %}",CC(=O)OCC1=C(N2C(SC1)C(N)C2=O)C(=O)O,[#6](-[#6]1=[#6](-[#6]-[#16]-[#6](-[#1])(-[#6](-[#7])-[#6]2=[#8])-[#7]12)-[#6]-[#8]-[#6](=[#8])-[#6])(-[#8])=[#8]
