Name,Canonical_Smiles,SMARTS
"{N-Benzyl-N-ethylaniline, 99 %}",CCN(Cc1ccccc1)c2ccccc2,[#7](-[c]1:[c]:[c]:[c]:[c]:[c]1)(-[#6]-[#6])-[#6]-[c]2:[c]:[c]:[c]:[c]:[c]2
"{(+)-Dehydroabietylamine, gradetech. 60 % 60 %}",CC(C)c1ccc2c(CCC3C(C)(CN)CCC[C@]23C)c1,[#6]-[#6@]12-[#6](-[#1])(-[#6]-[#6]-[c](:[c]:[c](-[#6](-[#6])-[#6]):[c]:[c]3):[c]13)-[#6](-[#6]-[#6]-[#6]2)(-[#6])-[#6]-[#7]
"{N,N-Diphenylhydrazine hydrochloride, 97 %}",Cl.NN(c1ccccc1)c2ccccc2,[#7](-[c]1:[c]:[c]:[c]:[c]:[c]1)(-[c]2:[c]:[c]:[c]:[c]:[c]2)-[#7]
"{Aminoacetaldehyde dimethyl acetal, 99 %}",COC(CN)OC,[#6](-[#8]-[#6])(-[#8]-[#6])-[#6]-[#7]
"{4-Amino-2,5-dimethylphenol, gradetech.}",Cc1cc(O)c(C)cc1N,[#6]-[c]1:[c]:[c](-[#8]):[c](-[#6]):[c]:[c]1-[#7]
{Hydrazobenzene},N(Nc1ccccc1)c2ccccc2,[#7](-[c]1:[c]:[c]:[c]:[c]:[c]1)-[#7]-[c]2:[c]:[c]:[c]:[c]:[c]2
"{N-Methylethylenediamine, 95 %}",CNCCN,[#6](-[#7]-[#6])-[#6]-[#7]
"{N'-Benzyl-N,N-dimethylethylenediamine, 95 %}",CN(C)CCNCc1ccccc1,[#6](-[c]1:[c]:[c]:[c]:[c]:[c]1)-[#7]-[#6]-[#6]-[#7](-[#6])-[#6]
"{2,2,2-Trifluoroethylhydrazine solution, 70 wt. % in water}",NNCC(F)(F)F,[#6](-[#7]-[#7])-[#6](-[#9])(-[#9])-[#9]
"{Bis(2-hydroxypropyl)amine, 95 %}",CC(O)CNCC(C)O,[#7](-[#6]-[#6](-[#8])-[#6])-[#6]-[#6](-[#8])-[#6]
"{Diisobutylamine, 99 %}",CC(C)CNCC(C)C,[#7](-[#6]-[#6](-[#6])-[#6])-[#6]-[#6](-[#6])-[#6]
"{3,3-Diphenylpropylamine, 97 %}",NCCC(c1ccccc1)c2ccccc2,[#6](-[c]1:[c]:[c]:[c]:[c]:[c]1)(-[c]2:[c]:[c]:[c]:[c]:[c]2)-[#6]-[#6]-[#7]
"{D(+)-Galactosamine hydrochloride, 98 %}",Cl.NC(C=O)C(O)C(O)C(O)CO,[#6](-[#8])(-[#6](-[#7])-[#6]=[#8])-[#6](-[#8])-[#6](-[#8])-[#6]-[#8]
"{1-Adamantylamine, 97 %}",NC12CC3CC(CC(C3)C1)C2,[#7]-[#6]12-[#6]-[#6](-[#6]-[#6](-[#6]-[#6]3-[#6]1)-[#6]2)-[#6]3
"{3-Methyl-1-(p-tolyl)triazene, 98 %}",CNN=Nc1ccc(C)cc1,[#7](-[c]1:[c]:[c]:[c](-[#6]):[c]:[c]1)=[#7]-[#7]-[#6]
"{N,N-Dimethylformamide dineopentyl acetal, 99 %}",CN(C)C(OCC(C)(C)C)OCC(C)(C)C,[#6](-[#7](-[#6])-[#6])(-[#8]-[#6]-[#6](-[#6])(-[#6])-[#6])-[#8]-[#6]-[#6](-[#6])(-[#6])-[#6]
"{4-Amino-alpha-diethylamino-o-cresol dihydrochloride, 97 %}",Cl.CCN(CC)Cc1cc(N)ccc1O,[#6](-[c]1:[c]:[c](-[#7]):[c]:[c]:[c]1-[#8])-[#7](-[#6]-[#6])-[#6]-[#6]
"{N,N-Dimethylformamide dicyclohexyl acetal}",CN(C)C(OC1CCCCC1)OC2CCCCC2,[#6](-[#7](-[#6])-[#6])(-[#8]-[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]1)-[#8]-[#6]2-[#6]-[#6]-[#6]-[#6]-[#6]2
"{9-Aminophenanthrene, 96 %}",Nc1cc2ccccc2c3ccccc13,[#7]-[c]1:[c]:[c]2:[c](:[c]:[c]:[c]:[c]2):[c](:[c]:[c]:[c]:[c]3):[c]13
"{6-Hydroxydopamine hydrochloride, 98 %}",Cl.NCCc1cc(O)c(O)cc1O,[#6](-[c]1:[c]:[c](-[#8]):[c](-[#8]):[c]:[c]1-[#8])-[#6]-[#7]
"{3-Chloro-o-anisidine, 97 %}",COc1c(N)cccc1Cl,[c]1:[c](-[#7]):[c](-[#8]-[#6]):[c](-[#17]):[c]:[c]1
"{2,4-Dichlorophenylhydrazine hydrochloride, 98 %}",Cl.NNc1ccc(Cl)cc1Cl,[#7](-[c]1:[c]:[c]:[c](-[#17]):[c]:[c]1-[#17])-[#7]
