Name,Canonical_Smiles,SMARTS
"{2,3,4,5,6-Pentafluorophenoxyacetic acid, 99 %}",OC(=O)COc1c(F)c(F)c(F)c(F)c1F,[#8](-[c]1:[c](:[c](-[#9]):[c](-[#9]):[c](-[#9]):[c]1-[#9])-[#9])-[#6]-[#6](-[#8])=[#8]
"{1-Adamantanecarboxylic acid, 99 %}",OC(=O)C12CC3CC(CC(C3)C1)C2,[#6](-[#6]12-[#6]-[#6](-[#6]-[#6](-[#6]-[#6]3-[#6]1)-[#6]2)-[#6]3)(-[#8])=[#8]
"{Pyruvic acid, 98 %}",CC(=O)C(=O)O,[#6](=[#8])(-[#6])-[#6](-[#8])=[#8]
"{2-Ethylbutyric acid, 99 %}",CCC(CC)C(=O)O,[#6](-[#6]-[#6])(-[#6]-[#6])-[#6](-[#8])=[#8]
"{cis-Pinonic acid, 98 %}",CC(=O)C1C[C@@H](CC(=O)O)C1(C)C,[#6](-[#6@@]1-[#6]-[#6](-[#6](=[#8])-[#6])-[#6]1(-[#6])-[#6])-[#6](-[#8])=[#8]
"{4-Hydroxyphenylpyruvic acid, 98 %}",OC(=O)C(=O)Cc1ccc(O)cc1,[#6](-[c]1:[c]:[c]:[c](-[#8]):[c]:[c]1)-[#6](=[#8])-[#6](-[#8])=[#8]
"{(+/-)-3-Phenylbutyric acid, 98 %}",CC(CC(=O)O)c1ccccc1,[#6](-[c]1:[c]:[c]:[c]:[c]:[c]1)(-[#6])-[#6]-[#6](-[#8])=[#8]
"{Podocarpic acid, 98 %}",CC1(CCC[C@@]2(C)C1CCc3ccc(O)cc23)C(=O)O,[#6]-[#6@]12-[#6](-[#1])(-[#6]-[#6]-[c](:[c]:[c]:[c](-[#8]):[c]3):[c]13)-[#6](-[#6]-[#6]-[#6]2)(-[#6])-[#6](-[#8])=[#8]
"{3-(3-Fluoro-4-methoxybenzoyl)propionic acid, 97 %}",COc1ccc(cc1F)C(=O)CCC(=O)O,[c]1(-[#9]):[c]:[c](-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#8]):[c]:[c]:[c]1-[#8]-[#6]
"{3-Butenoic acid, 97 %}",OC(=O)CC=C,[#6](-[#6]=[#6])-[#6](-[#8])=[#8]
"{3,5-Diisopropyl-2-hydroxybenzoic acid, 98 %}",CC(C)c1cc(C(C)C)c(O)c(c1)C(=O)O,[#6](-[c]1:[c]:[c](-[#6](-[#6])-[#6]):[c]:[c](-[#6](-[#8])=[#8]):[c]1-[#8])(-[#6])-[#6]
"{(1R,3R,4R,5R)-(-)-Quinic acid, 98 %}",OC1CC(O)(CC(O)C1O)C(=O)O,[#6](-[#6]1(-[#6]-[#6](-[#8])-[#6](-[#8])-[#6](-[#8])-[#6]1)-[#8])(-[#8])=[#8]
"{2,3-Dibromopropionic acid, 98 %}",OC(=O)C(Br)CBr,[#6](-[#35])(-[#6]-[#35])-[#6](-[#8])=[#8]
"{N-Phenylanthranilic acid, 98 %}",OC(=O)c1ccccc1Nc2ccccc2,[#7](-[c]1:[c]:[c]:[c]:[c]:[c]1)-[c]2:[c]:[c]:[c]:[c]:[c]2-[#6](-[#8])=[#8]
"{Tetrahydrofuran-2r,3t,4t,5c-tetracarboxylic acid, 97 %}",OC(=O)C1OC(C(C1C(=O)O)C(=O)O)C(=O)O,[#6](-[#6]1-[#6](-[#8]-[#6](-[#6](-[#8])=[#8])-[#6]1-[#6](-[#8])=[#8])-[#6](-[#8])=[#8])(-[#8])=[#8]
"{3,4-(Methylenedioxy)cinnamic acid,predominantly trans, 99 %}",OC(=O)\C=C\c1ccc2OCOc2c1,[#6](/-[c]1:[c]:[c]:[c](-[#8]-[#6]-[#8]2):[c]2:[c]1)=[#6]\-[#6](-[#8])=[#8]
"{2-Aminobenzophenone-2'-carboxylic acid, 98 %}",Nc1ccccc1C(=O)c2ccccc2C(=O)O,[#6](-[c]1:[c]:[c]:[c]:[c]:[c]1-[#7])(-[c]2:[c]:[c]:[c]:[c]:[c]2-[#6](-[#8])=[#8])=[#8]
"{(R)-(+)-alpha-Methoxy-alpha-trifluoromethylphenylacetic acid, 99 %}",COC(C(=O)O)(c1ccccc1)C(F)(F)F,[#6](-[c]1:[c]:[c]:[c]:[c]:[c]1)(-[#8]-[#6])(-[#6](-[#8])=[#8])-[#6](-[#9])(-[#9])-[#9]
"{trans-Styrylacetic acid, 96 %}",OC(=O)C\C=C\c1ccccc1,[#6](/-[c]1:[c]:[c]:[c]:[c]:[c]1)=[#6]\-[#6]-[#6](-[#8])=[#8]
"{1-Phenyl-1-cyclopropanecarboxylic acid, 97 %}",OC(=O)C1(CC1)c2ccccc2,[#6](-[#6]1(-[c]2:[c]:[c]:[c]:[c]:[c]2)-[#6]-[#6]1)(-[#8])=[#8]
"{alpha-Fluorocinnamic acid, 98 %}",OC(=O)\C(=C\c1ccccc1)\F,[#6](/-[c]1:[c]:[c]:[c]:[c]:[c]1)=[#6](/-[#9])\-[#6](-[#8])=[#8]
"{Heptafluorobutyric acid, 99 %}",OC(=O)C(F)(F)C(F)(F)C(F)(F)F,[#6](-[#9])(-[#9])(-[#6](-[#9])(-[#9])-[#9])-[#6](-[#9])(-[#9])-[#6](-[#8])=[#8]
{(2-Carbamoylphenoxy)acetic acid sodium salt},[Na+].NC(=O)c1ccccc1OCC(=O)[O-],[c]1:[c]:[c](-[#6](=[#8])-[#7]):[c](-[#8]-[#6]-[#6](=[#8])-[#8-]):[c]:[c]1
"{cis-3-Chloroacrylic acid, 98 %}",OC(=O)\C=C/Cl,[#6](=[#6]/-[#17])/-[#6](-[#8])=[#8]
"{1,2,3,4-Tetrahydro-2-naphthoic acid, 98 %}",OC(=O)C1CCc2ccccc2C1,[#6](-[#6]1-[#6]-[#6]-[c](:[c]:[c]:[c]:[c]2):[c]2-[#6]1)(-[#8])=[#8]
"{3-(Trifluoromethyl)cinnamic acid,predominantly trans, 98 %}",OC(=O)\C=C\c1cccc(c1)C(F)(F)F,[#6](-[c]1:[c]:[c]:[c]:[c](\-[#6]=[#6]\-[#6](-[#8])=[#8]):[c]1)(-[#9])(-[#9])-[#9]
"{2,3:4,6-Di-O-isopropylidene-2-keto-L-gulonic acid monohydrate, 98 %}",O.CC1(C)OCC2OC3(OC(C)(C)OC3C2O1)C(=O)O,[#6](-[#6]12-[#6](-[#8]-[#6](-[#6])(-[#6])-[#8]1)-[#6]3-[#6](-[#6]-[#8]-[#6](-[#6])(-[#6])-[#8]3)-[#8]2)(-[#8])=[#8]
"{3-Methylindene-2-carboxylic acid, 98 %}",CC1=C(Cc2ccccc12)C(=O)O,[#6]-[#6]1=[#6](-[#6]-[c](:[c]:[c]:[c]:[c]2):[c]12)-[#6](-[#8])=[#8]
"{Cyclopentylphenylacetic acid, 97 %}",OC(=O)C(C1CCCC1)c2ccccc2,[#6](-[#6]1-[#6]-[#6]-[#6]-[#6]1)(-[c]2:[c]:[c]:[c]:[c]:[c]2)-[#6](-[#8])=[#8]
"{4-[4-(2-Carboxybenzoyl)phenyl]butyric acid, 98 %}",OC(=O)CCCc1ccc(cc1)C(=O)c2ccccc2C(=O)O,[#6](-[c]1:[c]:[c]:[c](-[#6]-[#6]-[#6]-[#6](-[#8])=[#8]):[c]:[c]1)(-[c]2:[c]:[c]:[c]:[c]:[c]2-[#6](-[#8])=[#8])=[#8]
"{Methoxyacetic acid, 98 %}",COCC(=O)O,[#6](-[#8]-[#6])-[#6](-[#8])=[#8]
"{3-(3,4,5-Trimethoxyphenyl)propionic acid, 98+ %}",COc1cc(CCC(=O)O)cc(OC)c1OC,[#8](-[c]1:[c]:[c](-[#6]-[#6]-[#6](-[#8])=[#8]):[c]:[c](-[#8]-[#6]):[c]1-[#8]-[#6])-[#6]
"{2,2-Dichloro-1-methyl-cyclopropanecarboxylic acid, 98 %}",CC1(CC1(Cl)Cl)C(=O)O,[#6](-[#6]1(-[#6]-[#6]1(-[#17])-[#17])-[#6])(-[#8])=[#8]
"{2-(4-Chlorobenzoyl)benzoic acid, 98 %}",OC(=O)c1ccccc1C(=O)c2ccc(Cl)cc2,[#6](-[c]1:[c]:[c]:[c](-[#17]):[c]:[c]1)(-[c]2:[c]:[c]:[c]:[c]:[c]2-[#6](-[#8])=[#8])=[#8]
"{(S)-(-)-Perillic acid, 95 %}",CC(=C)[C@H]1CCC(=CC1)C(=O)O,[#6]1-[#6](-[#6](=[#8])-[#8])=[#6]-[#6]-[#6@@](-[#1])(-[#6](=[#6])-[#6])-[#6]1
"{(+/-)-2-Hydroxyhexanoic acid, 98 %}",CCCCC(O)C(=O)O,[#6](-[#8])(-[#6]-[#6]-[#6]-[#6])-[#6](-[#8])=[#8]
"{2-Hydroxy-3-methylbutyric acid, 99 %}",CC(C)C(O)C(=O)O,[#6](-[#8])(-[#6](-[#8])=[#8])-[#6](-[#6])-[#6]
"{4-Hydroxy-3-nitrophenylacetic acid, 99 %}",OC(=O)Cc1ccc(O)c(c1)[N+](=O)[O-],[#6](-[c]1:[c]:[c]:[c](-[#8]):[c](-[#7+](=[#8])-[#8-]):[c]1)-[#6](-[#8])=[#8]
