Name,Canonical_Smiles,SMARTS
"{Triethyl citrate, 99 %}",CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,[#6](-[#8])(-[#6](=[#8])-[#8]-[#6]-[#6])(-[#6]-[#6](=[#8])-[#8]-[#6]-[#6])-[#6]-[#6](=[#8])-[#8]-[#6]-[#6]
"{Methyl 1-naphthaleneacetate, 96 %}",COC(=O)Cc1cccc2ccccc12,[#6](-[c]1:[c]:[c]:[c]:[c](:[c]:[c]:[c]:[c]2):[c]12)-[#6](=[#8])-[#8]-[#6]
"{Isopropenyl acetate, 99 %}",CC(=C)OC(=O)C,[#8](-[#6](=[#8])-[#6])-[#6](=[#6])-[#6]
"{Methyl 2,5-dihydro-2,5-dimethoxy-2-furancarboxylate,mixture of cis and trans, gradetech. 85 %}",COC1OC(OC)(C=C1)C(=O)OC,[#6](-[#6]1(-[#6]=[#6]-[#6](-[#8]-[#6])-[#8]1)-[#8]-[#6])(=[#8])-[#8]-[#6]
"{Adipic acid monoethyl ester, 97 %}",CCOC(=O)CCCCC(=O)O,[#6](-[#6]-[#6]-[#6]-[#6](-[#8])=[#8])-[#6](=[#8])-[#8]-[#6]-[#6]
"{Ethyl diethoxyacetate, 98 %}",CCOC(OCC)C(=O)OCC,[#6](-[#8]-[#6]-[#6])(-[#8]-[#6]-[#6])-[#6](=[#8])-[#8]-[#6]-[#6]
"{Chloromethyl pivalate, 97 %}",CC(C)(C)C(=O)OCCl,[#6](=[#8])(-[#8]-[#6]-[#17])-[#6](-[#6])(-[#6])-[#6]
"{Ethyl 1-benzyl-3-oxo-4-piperidinecarboxylate hydrochloride, gradetech.}",Cl.CCOC(=O)C1CCN(Cc2ccccc2)CC1=O,[#6](-[#6]1-[#6]-[#6]-[#7](-[#6]-[c]2:[c]:[c]:[c]:[c]:[c]2)-[#6]-[#6]1=[#8])(=[#8])-[#8]-[#6]-[#6]
"{Ethyl 3-(1-adamantyl)-3-oxopropionate, 98 %}",CCOC(=O)CC(=O)C12CC3CC(CC(C3)C1)C2,[#6](-[#6]12-[#6]-[#6](-[#6]-[#6](-[#6]-[#6]3-[#6]1)-[#6]2)-[#6]3)(=[#8])-[#6]-[#6](=[#8])-[#8]-[#6]-[#6]
"{tert-Butyl 2,4,5-trichlorophenyl carbonate, 99 %}",CC(C)(C)OC(=O)Oc1cc(Cl)c(Cl)cc1Cl,[#8](-[c]1:[c]:[c](-[#17]):[c](-[#17]):[c]:[c]1-[#17])-[#6](=[#8])-[#8]-[#6](-[#6])(-[#6])-[#6]
"{4-Methoxy-6-methyl-2H-pyran-2-one, 97 %}",COC1=CC(=O)OC(=C1)C,[#8](-[#6]1=[#6]-[#6](=[#8])-[#8]-[#6](-[#6])=[#6]1)-[#6]
"{Tetrahydrofurfuryl acetate, 97 %}",CC(=O)OCC1CCCO1,[#6](-[#6]1-[#8]-[#6]-[#6]-[#6]1)-[#8]-[#6](=[#8])-[#6]
"{4-Chloro-DL-phenylalanine ethyl ester hydrochloride, 97 %}",Cl.CCOC(=O)C(N)Cc1ccc(Cl)cc1,[#6](-[c]1:[c]:[c]:[c](-[#17]):[c]:[c]1)-[#6](-[#7])-[#6](=[#8])-[#8]-[#6]-[#6]
"{Methacrolein diacetyl acetal, 98 %}",CC(=O)OC(OC(=O)C)C(=C)C,[#6](-[#6](=[#6])-[#6])(-[#8]-[#6](=[#8])-[#6])-[#8]-[#6](=[#8])-[#6]
"{Ethyl 2-formyl-1-cyclopropanecarboxylate,predominantly trans, 96 %}",CCOC(=O)C1CC1C=O,[#6](-[#6]1-[#6]-[#6]1-[#6]=[#8])(=[#8])-[#8]-[#6]-[#6]
"{Bis(p-Nitrophenyl) carbonate, 99+ %}",[O-][N+](=O)c1ccc(OC(=O)Oc2ccc(cc2)[N+](=O)[O-])cc1,[#8](-[c]1:[c]:[c]:[c](-[#7+](-[#8-])=[#8]):[c]:[c]1)-[#6](=[#8])-[#8]-[c]2:[c]:[c]:[c](-[#7+](-[#8-])=[#8]):[c]:[c]2
"{Diethoxymethyl acetate, 99 %}",CCOC(OCC)OC(=O)C,[#6](-[#8]-[#6]-[#6])(-[#8]-[#6]-[#6])-[#8]-[#6](=[#8])-[#6]
"{Dimethyl 3-hydroxyglutarate, 98 %}",COC(=O)CC(O)CC(=O)OC,[#6](-[#8])(-[#6]-[#6](=[#8])-[#8]-[#6])-[#6]-[#6](=[#8])-[#8]-[#6]
"{Methyl 3-hydroxy-2-naphthoate, 97 %}",COC(=O)c1cc2ccccc2cc1O,[c]12:[c](:[c]:[c]:[c]:[c]1):[c]:[c](-[#8]):[c](-[#6](=[#8])-[#8]-[#6]):[c]2
"{4-Chloro-1,3-dioxolan-2-one, 90 %}",ClC1COC(=O)O1,[#17]-[#6]1-[#6]-[#8]-[#6](=[#8])-[#8]1
"{Ethylene glycol monosalicylate, 97 %}",OCCOC(=O)c1ccccc1O,[#6](-[c]1:[c]:[c]:[c]:[c]:[c]1-[#8])(=[#8])-[#8]-[#6]-[#6]-[#8]
"{Isopropyl myristate, 98 %}",CCCCCCCCCCCCCC(=O)OC(C)C,[#6](-[#6](=[#8])-[#8]-[#6](-[#6])-[#6])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]
"{Geranyl acetate, 98 %}",CC(=CCC\C(=C\COC(=O)C)\C)C,[#6](/-[#6])(=[#6]/-[#6]-[#8]-[#6](=[#8])-[#6])\-[#6]-[#6]\-[#6]=[#6](/-[#6])\-[#6]
"{Methyl 2-chloroacetoacetate, 95 %}",COC(=O)C(Cl)C(=O)C,[#6](-[#17])(-[#6](=[#8])-[#6])-[#6](=[#8])-[#8]-[#6]
"{Dimethyl 3-methylglutaconate,mixture of cis and trans, 95 %}",COC(=O)C\C(=C\C(=O)OC)\C,[#6](/-[#6])(=[#6]/-[#6](=[#8])-[#8]-[#6])\-[#6]-[#6](=[#8])-[#8]-[#6]
{3-[2-(Diethylamino)ethyl]-7-hydroxy-4-methylcoumarin hydrochloride},Cl.CCN(CC)CCC1=C(C)c2ccc(O)cc2OC1=O,[#6]-[#6]1=[#6](-[#6](=[#8])-[#8]-[c](:[c]:[c](-[#8]):[c]:[c]2):[c]12)-[#6]-[#6]-[#7](-[#6]-[#6])-[#6]-[#6]
"{Coumachlor, 98 %}",CC(=O)CC(C1=C(O)c2ccccc2OC1=O)c3ccc(Cl)cc3,[#6](-[c]1:[c]:[c]:[c](-[#17]):[c]:[c]1)(-[#6]2=[#6](-[c]3:[c](:[c]:[c]:[c]:[c]3)-[#8]-[#6]2=[#8])-[#8])-[#6]-[#6](=[#8])-[#6]
