Name,Canonical_Smiles,SMARTS
"{2-Isopropoxyethanol, 99 %}",CC(C)OCCO,[#8](-[#6]-[#6]-[#8])-[#6](-[#6])-[#6]
"{Benzyl ether, 99 %}",C(OCc1ccccc1)c2ccccc2,[#6](-[c]1:[c]:[c]:[c]:[c]:[c]1)-[#8]-[#6]-[c]2:[c]:[c]:[c]:[c]:[c]2
"{Dipropyl ether, 99+ %}",CCCOCCC,[#8](-[#6]-[#6]-[#6])-[#6]-[#6]-[#6]
"{2,6-Dichlorobenzyl methyl ether, 97 %}",COCc1c(Cl)cccc1Cl,[#6](-[c]1:[c](:[c]:[c]:[c]:[c]1-[#17])-[#17])-[#8]-[#6]
"{4-(Benzyloxy)benzyl chloride, 97 %}",ClCc1ccc(OCc2ccccc2)cc1,[#8](-[c]1:[c]:[c]:[c](-[#6]-[#17]):[c]:[c]1)-[#6]-[c]2:[c]:[c]:[c]:[c]:[c]2
"{trans-Anethole, 99 %}",COc1ccc(\C=C\C)cc1,[#6](/-[c]1:[c]:[c]:[c](-[#8]-[#6]):[c]:[c]1)=[#6]\-[#6]
"{1,3-Dimethoxybenzene, 98+ %}",COc1cccc(OC)c1,[#8](-[c]1:[c]:[c]:[c]:[c](-[#8]-[#6]):[c]1)-[#6]
"{4-Bromobutyl phenyl ether, 97 %}",BrCCCCOc1ccccc1,[#8](-[c]1:[c]:[c]:[c]:[c]:[c]1)-[#6]-[#6]-[#6]-[#6]-[#35]
"{2,3-Dimethylanisole, 97 %}",COc1cccc(C)c1C,[#8](-[c]1:[c]:[c]:[c]:[c](-[#6]):[c]1-[#6])-[#6]
"{2,4-Dimethylanisole, 97 %}",COc1ccc(C)cc1C,[#8](-[c]1:[c]:[c]:[c](-[#6]):[c]:[c]1-[#6])-[#6]
"{3,4-Dimethylanisole, 99 %}",COc1ccc(C)c(C)c1,[#8](-[c]1:[c]:[c]:[c](-[#6]):[c](-[#6]):[c]1)-[#6]
"{1,2,3-Trimethoxybenzene, 98 %}",COc1cccc(OC)c1OC,[#8](-[c]1:[c](:[c]:[c]:[c]:[c]1-[#8]-[#6])-[#8]-[#6])-[#6]
"{1,3,5-Trimethoxybenzene, 99+ %}",COc1cc(OC)cc(OC)c1,[#8](-[c]1:[c]:[c](-[#8]-[#6]):[c]:[c](-[#8]-[#6]):[c]1)-[#6]
"{Veratrole, 99 %}",COc1ccccc1OC,[#8](-[c]1:[c]:[c]:[c]:[c]:[c]1-[#8]-[#6])-[#6]
"{1,2-Diphenoxyethane, 99 %}",C(COc1ccccc1)Oc2ccccc2,[#8](-[c]1:[c]:[c]:[c]:[c]:[c]1)-[#6]-[#6]-[#8]-[c]2:[c]:[c]:[c]:[c]:[c]2
"{Butyl phenyl ether, 99 %}",CCCCOc1ccccc1,[#8](-[c]1:[c]:[c]:[c]:[c]:[c]1)-[#6]-[#6]-[#6]-[#6]
"{Chloromethyl ethyl ether, 95 %}",CCOCCl,[#8](-[#6]-[#17])-[#6]-[#6]
"{4-Methylanisole, 99 %}",COc1ccc(C)cc1,[#8](-[c]1:[c]:[c]:[c](-[#6]):[c]:[c]1)-[#6]
"{2-Methoxynaphthalene, 99 %}",COc1ccc2ccccc2c1,[#8](-[c]1:[c]:[c]:[c](:[c]:[c]:[c]:[c]2):[c]2:[c]1)-[#6]
"{4,4'-Dimethoxybiphenyl, 99 %}",COc1ccc(cc1)c2ccc(OC)cc2,[#8](-[c]1:[c]:[c]:[c](-[c]2:[c]:[c]:[c](-[#8]-[#6]):[c]:[c]2):[c]:[c]1)-[#6]
"{3-Methylanisole, 99 %}",COc1cccc(C)c1,[#8](-[c]1:[c]:[c]:[c]:[c](-[#6]):[c]1)-[#6]
"{1-Methoxynaphthalene, 98+ %}",COc1cccc2ccccc12,[#8](-[c]1:[c]:[c]:[c]:[c](:[c]:[c]:[c]:[c]2):[c]12)-[#6]
"{2,3-Dichloroanisole, 97+ %}",COc1cccc(Cl)c1Cl,[#8](-[c]1:[c]:[c]:[c]:[c](-[#17]):[c]1-[#17])-[#6]
"{2,6-Dichloroanisole, 97 %}",COc1c(Cl)cccc1Cl,[#8](-[c]1:[c](:[c]:[c]:[c]:[c]1-[#17])-[#17])-[#6]
"{3-Chloroanisole, 98 %}",COc1cccc(Cl)c1,[#8](-[c]1:[c]:[c]:[c]:[c](-[#17]):[c]1)-[#6]
"{3,5-Dichloroanisole, 98 %}",COc1cc(Cl)cc(Cl)c1,[#8](-[c]1:[c]:[c](-[#17]):[c]:[c](-[#17]):[c]1)-[#6]
"{1-Bromo-2,4-dimethoxybenzene, 97 %}",COc1ccc(Br)c(OC)c1,[#8](-[c]1:[c](:[c]:[c]:[c](-[#8]-[#6]):[c]1)-[#35])-[#6]
"{alpha,4-Dichloroanisole, 97 %}",ClCOc1ccc(Cl)cc1,[#8](-[c]1:[c]:[c]:[c](-[#17]):[c]:[c]1)-[#6]-[#17]
"{2-Bromoanisole, 97 %}",COc1ccccc1Br,[#8](-[c]1:[c]:[c]:[c]:[c]:[c]1-[#35])-[#6]
"{2-Chloroanisole, 98 %}",COc1ccccc1Cl,[#8](-[c]1:[c]:[c]:[c]:[c]:[c]1-[#17])-[#6]
"{Bromomethyl methyl ether, 90 % gradetech.}",COCBr,[#6](-[#35])-[#8]-[#6]
"{beta-Methoxystyrene,mixture of cis and trans, gradetech. 90 %}",CO\C=C\c1ccccc1,[#6](/-[c]1:[c]:[c]:[c]:[c]:[c]1)=[#6]\-[#8]-[#6]
"{3-Fluoroanisole, 99 %}",COc1cccc(F)c1,[#8](-[c]1:[c]:[c]:[c]:[c](-[#9]):[c]1)-[#6]
"{Diethylene glycol monochlorohydrin, 99 %}",OCCOCCCl,[#8](-[#6]-[#6]-[#8])-[#6]-[#6]-[#17]
"{Triethylene glycol monochlorohydrin, 98 %}",OCCOCCOCCCl,[#6](-[#8]-[#6]-[#6]-[#17])-[#6]-[#8]-[#6]-[#6]-[#8]
"{3,4-Dimethoxytoluene, 96 %}",COc1ccc(C)cc1OC,[#8](-[c]1:[c]:[c]:[c](-[#6]):[c]:[c]1-[#8]-[#6])-[#6]
"{3,4-Dibenzyloxybenzyl chloride}",ClCc1ccc(OCc2ccccc2)c(OCc3ccccc3)c1,[#8](-[c]1:[c]:[c](-[#6]-[#17]):[c]:[c]:[c]1-[#8]-[#6]-[c]2:[c]:[c]:[c]:[c]:[c]2)-[#6]-[c]3:[c]:[c]:[c]:[c]:[c]3
"{2-Methoxybiphenyl, 99 %}",COc1ccccc1c2ccccc2,[#8](-[c]1:[c]:[c]:[c]:[c]:[c]1-[c]2:[c]:[c]:[c]:[c]:[c]2)-[#6]
"{2,3,4,5,6-Pentafluoroanisole, 97+ %}",COc1c(F)c(F)c(F)c(F)c1F,[#8](-[c]1:[c](:[c](-[#9]):[c](-[#9]):[c](-[#9]):[c]1-[#9])-[#9])-[#6]
"{1,3,3-Trimethoxybutane, 97 %}",COCCC(C)(OC)OC,[#6](-[#6])(-[#8]-[#6])(-[#8]-[#6])-[#6]-[#6]-[#8]-[#6]
"{2-Bromo-6-methoxynaphthalene, 97 %}",COc1ccc2cc(Br)ccc2c1,[#8](-[c]1:[c]:[c]:[c](:[c]:[c](-[#35]):[c]:[c]2):[c]2:[c]1)-[#6]
"{5-Chloro-1,3-dimethoxybenzene, 97 %}",COc1cc(Cl)cc(OC)c1,[#8](-[c]1:[c]:[c](-[#17]):[c]:[c](-[#8]-[#6]):[c]1)-[#6]
"{4-Bromophenetole, 98 %}",CCOc1ccc(Br)cc1,[#8](-[c]1:[c]:[c]:[c](-[#35]):[c]:[c]1)-[#6]-[#6]
"{3-(Trifluoromethyl)anisole, 99 %}",COc1cccc(c1)C(F)(F)F,[#6](-[c]1:[c]:[c]:[c]:[c](-[#8]-[#6]):[c]1)(-[#9])(-[#9])-[#9]
"{2,7-Dimethoxynaphthalene, 98 %}",COc1ccc2ccc(OC)cc2c1,[#8](-[c]1:[c]:[c]:[c](:[c]:[c]:[c](-[#8]-[#6]):[c]2):[c]2:[c]1)-[#6]
"{1-Methoxy-1,3-cyclohexadiene, gradetech. 65 %}",COC1=CC=CCC1,[#8](-[#6]1=[#6]-[#6]=[#6]-[#6]-[#6]1)-[#6]
"{beta-Asarone, 70 %}",COc1cc(OC)c(\C=C/C)cc1OC,[#6](/-[c]1:[c]:[c](-[#8]-[#6]):[c](-[#8]-[#6]):[c]:[c]1-[#8]-[#6])=[#6]/-[#6]
"{3,4,5-Trimethoxytoluene, 97 %}",COc1cc(C)cc(OC)c1OC,[#8](-[c]1:[c](:[c]:[c](-[#6]):[c]:[c]1-[#8]-[#6])-[#8]-[#6])-[#6]
"{2,4,6-Trichloroanisole, 99 %}",COc1c(Cl)cc(Cl)cc1Cl,[#8](-[c]1:[c](:[c]:[c](-[#17]):[c]:[c]1-[#17])-[#17])-[#6]
"{1,2-Bis(2-chloroethoxy)ethane, 97 %}",ClCCOCCOCCCl,[#6](-[#8]-[#6]-[#6]-[#17])-[#6]-[#8]-[#6]-[#6]-[#17]
"{Phenetole, 99 %}",CCOc1ccccc1,[#8](-[c]1:[c]:[c]:[c]:[c]:[c]1)-[#6]-[#6]
"{1,1,3-Trimethoxypropane, 99 %}",COCCC(OC)OC,[#6](-[#8]-[#6])(-[#8]-[#6])-[#6]-[#6]-[#8]-[#6]
